Publication Number,Date,Title,CPC,Summary
"US20140253684","2014-09-11","VISUALIZATION OF REGISTERED SUBSURFACE ANATOMY","A61B1/000094, A61B1/3132, A61B34/30","A system and method for visualization of subsurface anatomy includes obtaining a first image from a ..."
"US20150289755","2015-10-15","MULTI-VIEW IMAGING SYSTEM FOR LAPAROSCOPIC SURGERY","A61B1/00096, A61B1/00179, A61B1/00193","The invention concerns a multi-view imaging system for laparoscopic surgery comprising: A tubular me..."
"US20160184605","2016-06-30","Direct visualization Robotic Intra-Operative Radiation Therapy Device with Radiation Ablation Capsule and Shutter System","A61N5/1083, A61N5/1014, A61N5/1042","This invention proposes a robotic applicator device to be deployed internally to a patient having a ..."
"US20180042680","2018-02-15","INTERACTIVE USER INTERFACES FOR MINIMALLY INVASIVE TELESURGICAL SYSTEMS","A61B1/0005, A61B1/000094, A61B1/0004","In one embodiment of the invention  a a minimally invasive surgical system is disclosed. The system ..."
"US20180214222","2018-08-02","WIRELESS FORCE SENSOR ON A DISTAL PORTION OF A SURGICAL INSTRUMENT AND METHOD","A61B34/30, A61B34/35, A61B34/37","A surgical instrument includes a distal portion. A force sensor is operatively mounted on the distal..."
"US20190336226","2019-11-07","TRAINING SYSTEM FOR ROBOT-ASSISTED LAPAROSCOPIC SURGERY","G09B23/285, A61B34/35, A61B34/74","A training system for robot-assisted laparoscopic surgery is described. The training system includes..."
"US20200113639","2020-04-16","MASTER OPERATION INPUT DEVICE AND MASTER-SLAVE MANIPULATOR","A61B34/74, A61B34/37, A61B2034/741","A remote control apparatus according to an embodiment may be a master operation input device for ope..."
"US20200405418","2020-12-31","SURGICAL SIMULATION SYSTEM USING FORCE SENSING AND OPTICAL TRACKING AND ROBOTIC SURGERY SYSTEM","A61B34/35, A61B18/00, A61B34/30","A surgical simulation device includes a support structure and animal tissue carried in a tray. A sim..."
"US20210137636","2021-05-13","DEVICE FOR PROVIDING AN INTERFACE BETWEEN A MEDICAL INSTRUMENT AND A PART OF A HUMAN OR ANIMAL BODY AND METHODS OF USE THEREOF","A61B90/37, A61B8/4209, A61B8/4444","A device for providing an interface between a medical instrument and a part of a human or animal bod..."
"US20210282887","2021-09-16","SURGICAL AUGMENTED REALITY","A61B34/37, A61B34/20, A61B90/361","Devices  systems  and methods for augmented reality in surgical environments include an optical lens..."
"US20230014454","2023-01-19","FORMING A CUSTOM FITTED MESH BASED ON A TOPOGRAPHICAL MAP OF A PATIENT'S ABDOMINAL CAVITY","B33Y80/00, B33Y50/02, A61B34/30","The present disclosure relates generally to hernia repair  and more specifically to forming a custom..."
"US20230100415","2023-03-30","SURGICAL SEALING SYSTEMS FOR INSTRUMENT STABILIZATION","A61B5/0075, A61B17/3423, A61B17/3462","Surgical sealing systems are provided. In one exemplary embodiment  a surgical sealing system includ..."
"US20230181258","2023-06-15","ROBOTIC SURGICAL SYSTEM FOR INSERTION OF SURGICAL IMPLANTS","A61B34/10, A61B5/08, A61B5/145","Methods  apparatuses  and systems for performing robotic surgery in an extended-reality (XR) surgica..."
"US20230215554","2023-07-06","SYSTEM FOR MAINTAINING AND CONTROLLING SURGICAL TOOLS","A61B34/30, A61B5/6846, A61B5/741","Methods  apparatuses  and systems for maintaining and controlling surgical tools are disclosed. For ..."
"US20230270562","2023-08-31","SYNCHRONIZED PLACEMENT OF SURGICAL IMPLANT HARDWARE","G06F30/20, A61B5/0022, A61B5/02055","Methods  apparatuses  and systems for robotic insertion of a screw  a rod  or another component of a..."
"US20240050232","2024-02-15","Methods and system for cartilage restoration","A61B34/10, A61B2034/102, A61B2034/105","Methods and systems for cartilage restoration. A 3-dimensional anatomic map is obtained for a recipi..."
"US20240122649","2024-04-18","DIGITAL IMAGE ANALYSIS FOR DEVICE NAVIGATION IN TISSUE","A61B34/10, A61B5/0036, A61B5/004","Methods  apparatuses  and systems for digital image analysis for device navigation in tissue are dis..."
"US20240238617","2024-07-18","INTRA-OPERATIVE RADIATION THERAPY CAPSULE WITH CYLINDRICAL SHELL RADIATION CONTAINMENT SHUTTER SYSTEM","A61B34/35, A61B90/361, A61B90/37","This invention proposes a capsule to administer radiation to a patient to be mounted on an arm  pref..."
"US20240245458","2024-07-25","APPARATUS FOR ROBOTIC JOINT ARTHROSCOPIC SURGERY","A61B34/10, A61B34/25, A61B34/30","Methods  apparatuses  and systems for performing robotic joint arthroscopic surgery are disclosed. T..."
"US20240398479","2024-12-05","ROBOTIC SURGICAL SYSTEM FOR VIRTUAL REALITY BASED ROBOTIC TELESURGICAL OPERATIONS","A61B90/36, A61B34/10, A61B34/25","Methods  apparatuses  and systems for performing a virtual reality based robotic telesurgical demons..."
"US20250009432","2025-01-09","DIGITAL IMAGE ANALYSIS FOR DEVICE NAVIGATION IN TISSUE","A61B34/10, A61B34/20, A61B2034/104","Methods  apparatuses  and systems for digital image analysis for device navigation in tissue are dis..."
"US20250032204","2025-01-30","COMPUTERIZED CONTROL AND NAVIGATION OF A ROBOTIC SURGICAL APPARATUS","A61B34/25, A61B34/10, A61B34/20","The present disclosure provides a method for a surgical robot with extended operational range in whi..."
"US20250255678","2025-08-14","SYSTEM FOR TRANSCRIBING AND PERFORMING ANALYSIS ON PATIENT DATA","G06V10/70, A61B90/90, A61B90/98","Methods  apparatuses  and systems for transcribing and performing analysis on patient data are discl..."
"US7741802","2010-06-22","Medical robotic system with programmably controlled constraints on error dynamics","B25J9/1689, A61B34/30, A61B34/37","A medical robotic system has a robot arm holding an instrument for performing a medical procedure  a..."
"US8398541","2013-03-19","Interactive user interfaces for robotic minimally invasive surgical systems","G16H20/40, A61B8/00, A61B8/12","In one embodiment of the invention  a method for a minimally invasive surgical system is disclosed. ..."
