lens_id,pub_key,jurisdiction,date_published,title,cpc_codes,claim_count,independent_claim_count,has_full_text,tags
"","US9622826","US","2017-04-18","Medical robotic system providing sensory feedback indicating a difference between a commanded state and a preferred pose of an articulated instrument","A61B34/37, A61B34/25, A61B34/30",0,0,"No",""
"","US9629520","US","2017-04-25","Method and system for moving an articulated instrument back towards an entry guide while automatically reconfiguring the articulated instrument for retraction into the entry guide","A61B1/00193, A61B1/0055, A61B1/018",0,0,"No",""
"","US9718190","US","2017-08-01","Tool position and identification indicator displayed in a boundary area of a computer display screen","B25J9/1692, A61B1/00009, A61B1/0005",0,0,"No",""
"","US9786202","US","2017-10-10","Robot assisted surgical training","G09B23/28, G09B23/30, G09B23/28",0,0,"No",""
"","US9788909","US","2017-10-17","Synthetic representation of a surgical instrument","A61B34/20, A61B34/30, A61B34/37",0,0,"No",""
"","WO2005074303","WO","2005-08-11","STEREOSCOPIC PROJECTION-BASED DISPLAY FOR SURGICAL ROBOT","A61B34/35, A61B34/70, A61B90/361",0,0,"No",""
"","WO2007114868","WO","2007-10-11","METHOD FOR TRACKING AND REPORTING USAGE EVENTS TO DETERMINE WHEN PREVENTIVE MAINTENANCE IS DUE FOR A MEDICAL ROBOTIC SYSTEM","G16H40/40, A61B34/30, A61B34/37",0,0,"No",""
"","WO2012060901","WO","2012-05-10","SYSTEM AND METHOD FOR THE EVALUATION OF OR IMPROVEMENT OF MINIMALLY INVASIVE SURGERY SKILLS","A61B34/35, A61B2017/00707, G09B23/285",0,0,"No",""
"","WO2018148464","WO","2018-08-16","INTRA-OPERATIVE RADIATION THERAPY CAPSULE WITH CYLINDRICAL SHELL RADIATION CONTAINMENT SHUTTER SYSTEM","A61B34/35, A61B34/30, A61B90/361",0,0,"No",""
"","WO2019032984","WO","2019-02-14","MEDICAL APPARATUS WITH OPTICAL SENSING, AND RELATED DEVICES AND METHODS","A61B17/29, A61B2017/00075, A61B2017/00119",0,0,"No",""
"","WO2022011177","WO","2022-01-13","HEMOSTASIS METHODS AND APPARATUSES","A61B34/30, A61B1/00082, A61B1/015",0,0,"No",""
"","WO2022109176","WO","2022-05-27","SYSTEMS AND METHODS FOR SURGICAL DATA CENSORSHIP","G06V20/35, G06V10/764, G06V10/766",0,0,"No",""
"","WO2023052931","WO","2023-04-06","SURGICAL SEALING SYSTEMS FOR INSTRUMENT STABILIZATION","A61B17/3423, A61B1/00006, A61B1/000094",0,0,"No",""
"","WO2023052932","WO","2023-04-06","SURGICAL SEALING DEVICES FOR A NATURAL BODY ORIFICE","A61B2017/3466, A61B2017/347, A61B17/3423",0,0,"No",""
"","WO2023052961","WO","2023-04-06","SURGICAL SYSTEMS WITH PORT DEVICES FOR INSTRUMENT CONTROL","A61B17/3423, A61B17/3462, A61B34/20",0,0,"No",""
"","WO2024118995","WO","2024-06-06","SYSTEMS AND METHODS FOR CONTROLLING SURGICAL SYSTEMS USING NATURAL LANGUAGE","G16H20/40, A61B1/00006, A61B34/37",0,0,"No",""
"","WO2025058939","WO","2025-03-20","WIPER FOR CLEANING A SURFACE AND CLEANING DEVICES COMPRISING SAME","A61B1/126, A61B1/00042, A61B90/70",0,0,"No",""
